time,BatC1,BatC2
1565888083.733,455.93,458.21
1565888087.333,13.63,2.43
1565888093.333,889.39,876.24
1565888110.1330001,455.91,458.23
1565888114.933,13.65,2.25
1565888120.933,889.35,876.09
1565888136.533,456.04,458.24
1565888141.333,13.68,2.42
1565888147.333,889.41,876.2
1565888162.933,455.99,458.29
1565888167.733,13.65,2.43
1565888173.733,889.37,876.36
1565888190.533,455.92,458.18
1565888195.333,13.61,2.41
1565888201.333,889.41,876.32
1565888216.933,455.88,458.19
1565888221.733,13.65,2.47
1565888227.733,889.3,876.43
1565888243.333,455.87,458.17
1565888248.1330001,13.61,2.45
1565888254.1330001,889.36,876.36
1565888270.933,455.88,458.2
1565888275.733,13.56,2.32
1565888281.733,889.41,876.29
1565888297.333,455.95,458.23
1565888302.1330001,13.63,2.35
1565888308.1330001,889.41,876.26
1565888323.733,455.96,458.26
1565888328.533,13.6,2.46
1565888334.533,889.38,876.41
1565888351.333,455.89,458.21
1565888354.933,13.67,2.48
1565888360.933,889.52,876.38
1565888377.733,456.03,458.2
1565888382.533,13.69,2.45
1565888388.533,889.48,876.24
1565888404.1330001,455.91,458.19
1565888408.933,13.67,2.6
1565888414.933,889.49,875.99
1565888431.733,455.97,458.17
1565888435.333,13.65,2.11
1565888441.333,889.54,875.57
1565888458.1330001,456.01,458.2
1565888462.933,13.51,2.26
1565888468.933,889.22,875.7
1565888484.533,455.93,458.2
1565888489.333,13.62,2.12
1565888495.333,889.35,875.42
1565888510.933,456.05,458.22
1565888515.733,13.61,2.32
1565888521.733,889.39,875.71
1565888538.533,455.92,458.2
1565888543.333,13.63,1.97
1565888549.333,889.52,875.34
1565888564.933,455.97,458.28
1565888569.733,13.62,2.16
1565888575.733,889.51,875.46
1565888591.333,455.99,458.22
1565888596.1330001,13.59,2.23
1565888602.1330001,889.35,875.56
1565888618.933,455.87,458.17
1565888623.733,13.64,2.15
1565888629.733,889.44,875.43
1565888645.333,455.88,458.22
1565888650.1330001,13.61,1.94
1565888656.1330001,889.56,875.3
1565888671.733,455.89,458.21
1565888676.533,13.59,2.15
1565888682.533,889.36,875.39
1565888699.333,455.96,458.16
1565888702.933,13.65,2.15
1565888708.933,889.46,875.43
1565888725.733,455.87,458.22
1565888730.533,13.59,2.43
1565888736.533,889.44,876.36
1565888752.1330001,456.01,458.18
1565888756.933,13.59,2.5
1565888762.933,889.47,876.43
1565888779.733,455.96,458.21
1565888783.333,13.62,2.36
1565888789.333,889.56,876.36
1565888806.1330001,455.91,458.22
1565888810.933,13.64,2.39
1565888816.933,889.48,876.25
1565888832.533,455.96,458.24
1565888837.333,13.71,2.5
1565888843.333,889.58,876.46
1565888860.1330001,455.92,458.21
1565888863.733,13.67,2.39
1565888869.733,889.51,876.32
1565888886.533,455.9,458.21
1565888891.333,13.7,2.41
1565888897.333,889.52,876.31
1565888912.933,455.95,458.25
1565888917.733,13.68,2.47
1565888923.733,889.51,876.36
1565888939.333,455.92,458.2
1565888944.1330001,13.63,2.2
1565888950.1330001,889.53,876.19
1565888966.933,455.93,458.23
1565888971.733,13.74,2.25
1565888977.733,889.61,876.05
1565888993.333,455.9,458.19
1565888998.1330001,13.73,2.38
1565889004.1330001,889.53,876.18
1565889019.733,455.92,458.22
1565889024.533,13.66,2.38
1565889030.533,889.57,876.24
1565889047.333,456.0,458.19
1565889050.933,13.7,2.82
1565889056.933,889.57,876.54
1565889073.733,455.9,458.17
1565889078.533,13.6,2.49
1565889084.533,889.34,876.33
